HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
REMARK	SOFTWARE	ScanAlyze
REMARK	SOFTVERS	2.44
REMARK	CH1 IMAGE	Def664Cy3
REMARK	CH2 IMAGE	Def664Cy5
REMARK	GRID FILE	C:\Documents and Settings\cbio07\Desktop\mod8tp08\group7\group7.SAG
REMARK	DATE	5.15.2001
REMARK	TIME	14:29:16
SPOT	51	2	190	625	205	640	1	2	1911	248	407	5158	1029	1118	177	1443	0	2.483	1.781	1.537	0.5104	5.431	0.8531	0.9548	0.8249	0.8418	0.343	0.2599	0	0.5505	8.954E-43	0.6866	0.000E+00
SPOT	52	2	191	676	206	691	1	3	11546	160	335	12338	847	974	177	1433	0	1.009	1.01	0.9064	0.9156	0.9891	0.9096	0.9096	0.8927	0.8192	0.341	0.2552	0	0.7297	0.000E+00	0.746	0.000E+00
SPOT	53	2	192	727	207	742	1	4	8009	204	390	6271	973	1332	177	1422	0	0.6788	0.7035	0.6097	0.8856	0.6577	0.8814	0.8757	0.8588	0.7797	0.3179	0.2197	0	0.7296	0.000E+00	0.6527	0.000E+00
SPOT	54	2	192	778	207	793	1	5	12213	453	1135	11680	1445	4099	177	1412	0	0.8703	0.882	0.7546	0.7781	0.9614	0.904	0.8531	0.8814	0.791	0.3269	0.2491	0	0.6864	0.000E+00	0.5674	2.803E-45
SPOT	55	2	193	829	208	844	1	6	9641	601	1240	6454	1741	3651	177	1401	0	0.5213	0.5233	0.4765	0.5962	0.6903	0.8814	0.8249	0.8136	0.7684	0.3097	0.1994	0	0.6833	0.000E+00	0.5348	2.867E-40
SPOT	56	2	194	880	209	895	1	7	25544	818	1576	32568	2251	4435	177	1390	0	1.226	1.265	1.12	0.9125	1.252	0.8588	0.7966	0.8305	0.7627	0.3067	0.2619	0	0.6973	0.000E+00	0.6895	0.000E+00
SPOT	57	2	239	573	254	588	2	1	5580	327	483	11858	1559	1604	177	1453	0	1.961	1.907	1.688	0.8496	2.2	0.8983	0.9209	0.8531	0.8362	0.31	0.2547	0	0.7275	0.000E+00	0.7767	0.000E+00
SPOT	58	2	239	624	254	639	2	2	20586	201	352	29899	1277	1352	177	1443	0	1.404	1.4	1.248	0.9211	1.389	0.9096	0.9605	0.8983	0.8927	0.3515	0.3039	0	0.7631	0.000E+00	0.8275	0.000E+00
SPOT	59	2	240	675	255	690	2	3	1959	171	345	1578	1196	1359	177	1433	0	0.2136	0.2961	0.1321	0.1834	0.2562	0.8983	0.6893	0.8757	0.3164	0.3037	0.1267	0	0.6453	0.000E+00	0.2284	1.032E-07
SPOT	60	2	241	726	256	741	2	4	6054	197	342	6015	1195	1253	177	1423	0	0.8229	0.8288	0.7355	0.9046	0.7958	0.9266	0.9492	0.9096	0.8475	0.3059	0.2242	0	0.7564	0.000E+00	0.7727	0.000E+00
SPOT	61	2	241	777	256	792	2	5	53919	481	741	58410	1581	1951	177	1413	0	1.063	0.9831	0.9338	0.9284	1.006	0.9831	1	0.9831	1	0.2371	0.1667	0	0.9336	0.000E+00	0.9682	0.000E+00
SPOT	62	2	242	828	257	843	2	6	4704	412	558	4431	1340	1438	177	1402	0	0.7202	0.6889	0.5006	0.7096	0.6171	0.9718	0.9774	0.9605	0.9548	0.2457	0.1376	0	0.8485	0.000E+00	0.8866	0.000E+00
SPOT	63	2	243	880	258	895	2	7	49181	698	1020	48090	1552	1939	177	1386	0	0.9599	0.9868	0.9321	0.9669	0.9628	1	0.9944	0.9831	0.9831	0.2618	0.2596	0	0.8786	0.000E+00	0.8586	0.000E+00
SPOT	64	2	288	572	303	587	3	1	2802	285	447	981	1272	1312	177	1474	0	-0.1156	0.1447	-0.003966	-0.01922	241.4	0.9379	0.2373	0.8927	0.07345	0.2891	0.2126	0	0.7136	0.000E+00	0.3413	9.666E-17
SPOT	65	2	288	623	303	638	3	2	1475	172	331	1053	1121	1216	177	1453	0	-0.05219	0.4377	-0.009698	-0.01329	48.24	0.8079	0.4237	0.7853	0.1186	0.3469	0.1621	0	0.5194	3.751E-38	0.1591	5.763E-04
SPOT	66	2	289	674	304	689	3	3	44316	201	491	25060	1214	1416	177	1443	0	0.5405	0.54	0.5096	0.9627	0.518	0.9831	0.9831	0.9831	0.9605	0.2824	0.238	0	0.8621	0.000E+00	0.8781	0.000E+00
SPOT	67	2	290	726	305	741	3	4	12643	273	434	5612	1393	1457	177	1433	0	0.3411	0.3333	0.2801	0.8472	0.2883	0.9605	0.904	0.9379	0.8305	0.3208	0.2006	0	0.763	0.000E+00	0.7687	0.000E+00
SPOT	68	2	290	777	305	792	3	5	17019	255	449	11365	1340	1375	177	1421	0	0.598	0.6089	0.5253	0.914	0.5485	0.904	0.904	0.887	0.7966	0.3464	0.2765	0	0.7225	0.000E+00	0.7486	0.000E+00
SPOT	69	2	291	828	306	843	3	6	12990	332	477	8920	1203	1261	177	1410	0	0.6097	0.6034	0.5515	0.9224	0.5747	0.9266	0.887	0.9153	0.8362	0.3267	0.2634	0	0.7456	0.000E+00	0.7589	0.000E+00
SPOT	70	2	292	879	307	894	3	7	16657	329	498	11559	1143	1197	177	1399	0	0.6379	0.6346	0.584	0.9438	0.6027	0.9661	0.9435	0.9548	0.887	0.32	0.2617	0	0.781	0.000E+00	0.7967	0.000E+00
SPOT	71	2	337	572	352	587	4	1	12244	248	437	9120	1116	1347	177	1479	0	0.6672	0.6464	0.5447	0.892	0.5782	0.9266	0.9661	0.904	0.8701	0.3355	0.2525	0	0.7108	0.000E+00	0.7545	0.000E+00
SPOT	72	2	338	623	353	638	4	2	28186	221	391	23557	1118	1178	177	1474	0	0.8024	0.81	0.7462	0.9384	0.7836	0.9887	0.9548	0.9605	0.9153	0.3214	0.2877	0	0.8167	0.000E+00	0.83	0.000E+00
SPOT	73	2	338	674	353	689	4	3	5980	138	300	7423	1255	1316	177	1453	0	1.056	1.133	0.9114	0.9052	1.008	0.9379	0.9322	0.904	0.8305	0.3219	0.2178	0	0.7159	0.000E+00	0.7491	0.000E+00
SPOT	74	2	339	725	354	740	4	4	11286	205	377	9771	1329	1388	177	1433	0	0.7618	0.7759	0.6892	0.9209	0.7305	0.9492	0.9831	0.9379	0.9605	0.2812	0.2017	0	0.832	0.000E+00	0.8857	0.000E+00
SPOT	75	2	340	776	355	791	4	5	7858	205	428	6335	1154	1228	177	1423	0	0.677	0.6444	0.5834	0.8839	0.6272	0.9661	0.9944	0.9661	0.9548	0.2112	0.1517	0	0.9034	0.000E+00	0.914	0.000E+00
SPOT	76	2	340	827	355	842	4	6	4476	203	389	4293	1138	1208	177	1411	0	0.7384	0.7329	0.6122	0.8475	0.6831	0.9548	0.9548	0.9266	0.8701	0.2669	0.1667	0	0.7676	0.000E+00	0.8043	0.000E+00
SPOT	77	2	341	878	356	893	4	7	9779	185	367	7132	1012	1059	177	1400	0	0.6379	0.6586	0.5739	0.9179	0.6014	0.9096	0.9661	0.904	0.8531	0.2998	0.2317	0	0.7258	0.000E+00	0.7847	0.000E+00
SPOT	78	2	386	571	401	586	5	1	365	196	373	1263	1179	1223	177	1490	0	0.497	0.831	0.01179	0.01474	0.03277	0.5028	0.5311	0.4011	0.1469	0.4335	0.1347	0	0.04383	9.157E-01	0.04838	8.443E-01
SPOT	79	2	387	622	402	637	5	2	350	207	354	1320	1189	1248	177	1485	0	0.9161	1.059	0.09359	0.0724	7.308	0.4915	0.5706	0.4124	0.1977	0.4019	0.1336	0	0.05935	6.204E-01	0.08914	1.538E-01
SPOT	80	2	387	673	402	688	5	3	318	137	311	1350	1291	1334	177	1465	0	0.326	0.8873	0.02894	0.02452	13.68	0.5028	0.4972	0.4237	0.1073	0.4322	0.1386	0	0.0881	1.637E-01	0.03706	9.798E-01
SPOT	81	2	388	724	403	739	5	4	281	139	298	1212	1291	1341	177	1454	0	-0.5563	1.167	0.01326	0.01001	56.97	0.4972	0.4124	0.4068	0.06215	0.4467	0.1233	0	0.06773	4.509E-01	0.1353	5.486E-03
SPOT	82	2	389	775	404	790	5	5	319	156	311	1212	1172	1212	177	1434	0	0.2454	0.9436	0.04959	0.04005	10.84	0.5311	0.5254	0.4294	0.1186	0.3858	0.1361	0	0.07257	3.654E-01	0.05727	6.673E-01
SPOT	83	2	389	826	404	841	5	6	351	189	332	1161	1117	1168	177	1422	0	0.2716	0.8299	0.02015	0.01751	16.13	0.4746	0.4802	0.3785	0.113	0.4165	0.1451	0	0.04354	9.209E-01	0.05042	8.088E-01
SPOT	84	2	390	877	405	892	5	7	322	195	352	1062	1031	1066	177	1411	0	0.2441	0.8666	0.1397	0.1378	1.108	0.4802	0.4972	0.3503	0.1243	0.4169	0.1371	0	0.06786	4.506E-01	0.04215	9.380E-01
SPOT	85	2	435	570	450	585	6	1	392	208	362	1284	1265	1308	177	1499	0	0.1033	1.371	-0.03639	-0.03583	0.657	0.548	0.5085	0.4181	0.1299	0.4257	0.1382	0	0.07133	3.836E-01	0.0766	2.993E-01
SPOT	86	2	436	621	451	636	6	2	305	163	316	1413	1308	1355	177	1499	0	0.7394	0.8342	0.0316	0.02264	30.05	0.4972	0.565	0.3898	0.1299	0.3903	0.1202	0	0.03281	9.950E-01	0.09931	8.262E-02
SPOT	87	2	436	672	451	687	6	3	206	125	282	1403	1421	1470	177	1485	0	-0.2222	1.345	0.01204	0.007945	107.8	0.4181	0.4407	0.339	0.0791	0.4511	0.1073	0	0.113	3.244E-02	0.09809	8.957E-02
SPOT	88	2	437	723	452	738	6	4	245	139	291	1413	1361	1396	177	1474	0	0.4906	1.661	-0.008578	-0.005415	0.005683	0.4746	0.4746	0.4011	0.1582	0.4286	0.1358	0	0.06955	4.163E-01	0.05554	7.024E-01
SPOT	89	2	438	774	453	789	6	5	308	165	290	1344	1304	1352	177	1455	0	0.2797	0.5809	-0.0006205	-0.0004396	0.0006254	0.4463	0.4689	0.3729	0.1243	0.3999	0.1284	0	0.06733	4.585E-01	0.04368	9.184E-01
SPOT	90	2	438	825	453	840	6	6	327	169	313	1253	1220	1260	177	1442	0	0.2089	0.6931	0.0344	0.02674	19.11	0.5311	0.4859	0.4463	0.09605	0.4053	0.1303	0	0.05412	7.335E-01	0.04761	8.590E-01
SPOT	91	2	439	876	454	891	6	7	305	187	338	1169	1170	1206	177	1429	0	-0.008475	1.822	-0.02784	-0.02284	0.05716	0.452	0.4576	0.3446	0.1073	0.4234	0.1423	0	0.08548	1.907E-01	0.06306	5.450E-01
SPOT	92	2	484	569	499	584	7	1	3882	216	472	3740	1429	1573	177	1504	0	0.6304	0.6569	0.5763	0.8444	0.6387	0.8305	0.7627	0.7401	0.5819	0.3004	0.1605	0	0.5218	1.215E-38	0.5018	8.914E-36
SPOT	93	2	485	620	500	635	7	2	1521	146	346	1488	1512	1569	177	1504	0	-0.01745	0.3748	-0.01033	-0.02386	78.7	0.7458	0.4068	0.7175	0.07345	0.3554	0.1261	0	0.424	1.147E-25	0.09854	8.667E-02
SPOT	94	2	486	671	501	686	7	3	1953	181	386	2276	1547	1628	177	1499	0	0.4114	0.3913	0.3324	0.6307	0.3902	0.7288	0.7401	0.6949	0.4124	0.3122	0.1245	0	0.4541	2.292E-29	0.3154	2.182E-14
